region_code,region_name,municipalty_code,municipalty_name,group,lon,lat
0001,Stockholms län,0126,Huddinge,6.1,18.092528613642944,59.16078761217881
0001,Stockholms län,0126,Huddinge,6.1,18.07957496137293,59.155052214283955
0001,Stockholms län,0126,Huddinge,6.1,18.05475616394412,59.15331112239492
0001,Stockholms län,0126,Huddinge,6.1,18.034002057232428,59.14709542334324
0001,Stockholms län,0126,Huddinge,6.1,18.014183779295184,59.14958912058504
0001,Stockholms län,0126,Huddinge,6.1,17.997537730760154,59.15771947462538
0001,Stockholms län,0126,Huddinge,6.1,17.979324918624936,59.1614019278054
0001,Stockholms län,0126,Huddinge,6.1,17.96714035748608,59.17088133129363
0001,Stockholms län,0126,Huddinge,6.1,17.962279275102787,59.19284577902071
0001,Stockholms län,0126,Huddinge,6.1,17.943624568124342,59.1942943406636
0001,Stockholms län,0126,Huddinge,6.1,17.928304024970025,59.209442643700235
0001,Stockholms län,0126,Huddinge,6.1,17.92582468697916,59.2293280440185
0001,Stockholms län,0126,Huddinge,6.1,17.91850167295189,59.23387413969031
0001,Stockholms län,0126,Huddinge,6.1,17.908695971121755,59.23342243889679
0001,Stockholms län,0126,Huddinge,6.1,17.882334908264948,59.24455832019422
0001,Stockholms län,0126,Huddinge,6.1,17.882449090060806,59.273236905946945
0001,Stockholms län,0126,Huddinge,6.1,17.899115951080507,59.27296101559877
0001,Stockholms län,0126,Huddinge,6.1,17.911207505879368,59.27672598393935
0001,Stockholms län,0126,Huddinge,6.1,17.924866231541248,59.282790081009345
0001,Stockholms län,0126,Huddinge,6.1,17.943191430490753,59.283702833106744
0001,Stockholms län,0126,Huddinge,6.1,17.95631788386748,59.27869162644751
0001,Stockholms län,0126,Huddinge,6.1,17.971892671054828,59.26587985186357
0001,Stockholms län,0126,Huddinge,6.1,18.02188973602653,59.25897688569032
0001,Stockholms län,0126,Huddinge,6.1,18.035969949818092,59.25089688806487
0001,Stockholms län,0126,Huddinge,6.1,18.06023315939277,59.24661743582012
0006,Jönköpings län,0665,Vaggeryd,60.1,14.072134884267248,57.63153975975673
0006,Jönköpings län,0665,Vaggeryd,60.1,14.122120750004267,57.61108412778931
0006,Jönköpings län,0665,Vaggeryd,60.1,14.157774813516747,57.641836615774146
0006,Jönköpings län,0665,Vaggeryd,60.1,14.222872232795325,57.64948455151095
0006,Jönköpings län,0665,Vaggeryd,60.1,14.205714653050014,57.62867650550282
0006,Jönköpings län,0665,Vaggeryd,60.1,14.23992708241551,57.558402141824914
0006,Jönköpings län,0665,Vaggeryd,60.1,14.328639981466551,57.540450991704375
0006,Jönköpings län,0665,Vaggeryd,60.1,14.304743169375266,57.532715310970254
0006,Jönköpings län,0665,Vaggeryd,60.1,14.429677259139739,57.525743084110374
0006,Jönköpings län,0665,Vaggeryd,60.1,14.4569821477944,57.49332317375649
0006,Jönköpings län,0665,Vaggeryd,60.1,14.36038362368872,57.46754806624539
0006,Jönköpings län,0665,Vaggeryd,60.1,14.370153431388546,57.38160037308229
0006,Jönköpings län,0665,Vaggeryd,60.1,14.323198595485826,57.37373694732424
0006,Jönköpings län,0665,Vaggeryd,60.1,14.273468508168968,57.356374435484376
0006,Jönköpings län,0665,Vaggeryd,60.1,14.275522022641185,57.33099304526245
0006,Jönköpings län,0665,Vaggeryd,60.1,14.248601440238986,57.31068042517563
0006,Jönköpings län,0665,Vaggeryd,60.1,14.21129668653411,57.3251749736258
0006,Jönköpings län,0665,Vaggeryd,60.1,14.128720795229905,57.30938105999542
0006,Jönköpings län,0665,Vaggeryd,60.1,14.100342135029742,57.317980331090844
0006,Jönköpings län,0665,Vaggeryd,60.1,14.05886175670397,57.30253821598729
0006,Jönköpings län,0665,Vaggeryd,60.1,14.003540602850357,57.31542675461041
0006,Jönköpings län,0665,Vaggeryd,60.1,14.01540462785354,57.345539513535144
0006,Jönköpings län,0665,Vaggeryd,60.1,13.967874024661205,57.37847989650283
0006,Jönköpings län,0665,Vaggeryd,60.1,13.925278139563627,57.38229646615695
0006,Jönköpings län,0665,Vaggeryd,60.1,13.880617104315865,57.413262785077684
0006,Jönköpings län,0665,Vaggeryd,60.1,13.899635939071086,57.44664819084845
0006,Jönköpings län,0665,Vaggeryd,60.1,13.898298720109352,57.47136245071098
0006,Jönköpings län,0665,Vaggeryd,60.1,13.905880433202478,57.52213093809717
0006,Jönköpings län,0665,Vaggeryd,60.1,13.877934514904785,57.55409326865686
0006,Jönköpings län,0665,Vaggeryd,60.1,13.889153980648587,57.58063282932403
0006,Jönköpings län,0665,Vaggeryd,60.1,13.860490792466283,57.589184770336765
0006,Jönköpings län,0665,Vaggeryd,60.1,13.825570772524268,57.60702669184474
0006,Jönköpings län,0665,Vaggeryd,60.1,13.866901720832226,57.62677068991447
0006,Jönköpings län,0665,Vaggeryd,60.1,13.926109135983914,57.62040853359606
0006,Jönköpings län,0665,Vaggeryd,60.1,13.982802947049619,57.65743197173553
0006,Jönköpings län,0665,Vaggeryd,60.1,14.024672676641234,57.62839220345595
0006,Jönköpings län,0665,Vaggeryd,60.1,14.072134884267248,57.63153975975673
0006,Jönköpings län,0680,Jönköping,61.1,14.072134884267248,57.63153975975673
0006,Jönköpings län,0680,Jönköping,61.1,14.024672676641234,57.62839220345595
0006,Jönköpings län,0680,Jönköping,61.1,13.982802947049619,57.65743197173553
0006,Jönköpings län,0680,Jönköping,61.1,13.926109135983914,57.62040853359606
0006,Jönköpings län,0680,Jönköping,61.1,13.866901720832226,57.62677068991447
0006,Jönköpings län,0680,Jönköping,61.1,13.825570772524268,57.60702669184474
0006,Jönköpings län,0680,Jönköping,61.1,13.789559032015978,57.565394266901485
0006,Jönköpings län,0680,Jönköping,61.1,13.747911370205937,57.57630836314096
0006,Jönköpings län,0680,Jönköping,61.1,13.68186332487488,57.56125720432424
0006,Jönköpings län,0680,Jönköping,61.1,13.67266645525388,57.60675581464051
0006,Jönköpings län,0680,Jönköping,61.1,13.676211171712284,57.628245757297634
0006,Jönköpings län,0680,Jönköping,61.1,13.72182917517665,57.64061929582878
0006,Jönköpings län,0680,Jönköping,61.1,13.736587119311952,57.66881185227403
0006,Jönköpings län,0680,Jönköping,61.1,13.707236183366602,57.70740643907001
0006,Jönköpings län,0680,Jönköping,61.1,13.710713949777439,57.734911200077015
0006,Jönköpings län,0680,Jönköping,61.1,13.742481149203066,57.76413701952782
0006,Jönköpings län,0680,Jönköping,61.1,13.741240640723841,57.843555668139516
0006,Jönköpings län,0680,Jönköping,61.1,13.828696240354624,57.83597706068669
0006,Jönköpings län,0680,Jönköping,61.1,13.853515907432438,57.869267549923656
0006,Jönköpings län,0680,Jönköping,61.1,13.91962564863905,57.85524267804133
0006,Jönköpings län,0680,Jönköping,61.1,13.966600287326461,57.81516923404539
0006,Jönköpings län,0680,Jönköping,61.1,14.003023593621036,57.811651142339855
0006,Jönköpings län,0680,Jönköping,61.1,13.997801160551857,57.858814630148316
0006,Jönköpings län,0680,Jönköping,61.1,14.041110129694934,57.874807885460456
0006,Jönköpings län,0680,Jönköping,61.1,14.0799919997296,57.86574256475395
0006,Jönköpings län,0680,Jönköping,61.1,14.11391645029905,57.8857765150059
0006,Jönköpings län,0680,Jönköping,61.1,14.141808207553428,57.87181271141583
0006,Jönköpings län,0680,Jönköping,61.1,14.15813717260898,57.831318396033154
0006,Jönköpings län,0680,Jönköping,61.1,14.150731288347346,57.79016401612631
0006,Jönköpings län,0680,Jönköping,61.1,14.179180698461368,57.77976498880543
0006,Jönköpings län,0680,Jönköping,61.1,14.208461534613567,57.792781653448046
0006,Jönköpings län,0680,Jönköping,61.1,14.259509954193625,57.79569572859473
0006,Jönköpings län,0680,Jönköping,61.1,14.266616601684943,57.8531020297474
0006,Jönköpings län,0680,Jönköping,61.1,14.285504393534808,57.90091452015955
0006,Jönköpings län,0680,Jönköping,61.1,14.351997117227414,57.968026808196655
0006,Jönköpings län,0680,Jönköping,61.1,14.449941634022673,58.002836377829716
0006,Jönköpings län,0680,Jönköping,61.1,14.468131431328265,58.04525037965956
0006,Jönköpings län,0680,Jönköping,61.1,14.537452334288682,58.106139040479135
0006,Jönköpings län,0680,Jönköping,61.1,14.60393114321996,58.09249766505612
0006,Jönköpings län,0680,Jönköping,61.1,14.623470147563037,58.000590009633235
0006,Jönköpings län,0680,Jönköping,61.1,14.58384061102895,57.99421719099787
0006,Jönköpings län,0680,Jönköping,61.1,14.576604979650622,57.956667678736665
0006,Jönköpings län,0680,Jönköping,61.1,14.509188762077724,57.940256714343555
0006,Jönköpings län,0680,Jönköping,61.1,14.47929709453848,57.907469055517296
0006,Jönköpings län,0680,Jönköping,61.1,14.497621886514496,57.8613962888028
0006,Jönköpings län,0680,Jönköping,61.1,14.54345777155914,57.87169320992909
0006,Jönköpings län,0680,Jönköping,61.1,14.603984864204964,57.87038618865307
0006,Jönköpings län,0680,Jönköping,61.1,14.64266513299545,57.76783290919489
0006,Jönköpings län,0680,Jönköping,61.1,14.596290927375719,57.74256094862364
0006,Jönköpings län,0680,Jönköping,61.1,14.516669360798774,57.748474342762634
0006,Jönköpings län,0680,Jönköping,61.1,14.448978555467583,57.72846046431887
0006,Jönköpings län,0680,Jönköping,61.1,14.422307071903859,57.67564802756949
0006,Jönköpings län,0680,Jönköping,61.1,14.39071538789406,57.668222288901966
0006,Jönköpings län,0680,Jönköping,61.1,14.364490051145326,57.63523848518824
0006,Jönköpings län,0680,Jönköping,61.1,14.377782776600322,57.61651311346023
0006,Jönköpings län,0680,Jönköping,61.1,14.337306948535087,57.596885484855285
0006,Jönköpings län,0680,Jönköping,61.1,14.328639981466551,57.540450991704375
0006,Jönköpings län,0680,Jönköping,61.1,14.23992708241551,57.558402141824914
0006,Jönköpings län,0680,Jönköping,61.1,14.205714653050014,57.62867650550282
0006,Jönköpings län,0680,Jönköping,61.1,14.222872232795325,57.64948455151095
0006,Jönköpings län,0680,Jönköping,61.1,14.157774813516747,57.641836615774146
0006,Jönköpings län,0680,Jönköping,61.1,14.122120750004267,57.61108412778931
0006,Jönköpings län,0680,Jönköping,61.1,14.072134884267248,57.63153975975673
0006,Jönköpings län,0682,Nässjö,62.1,14.328639981466551,57.540450991704375
0006,Jönköpings län,0682,Nässjö,62.1,14.337306948535087,57.596885484855285
0006,Jönköpings län,0682,Nässjö,62.1,14.377782776600322,57.61651311346023
0006,Jönköpings län,0682,Nässjö,62.1,14.364490051145326,57.63523848518824
0006,Jönköpings län,0682,Nässjö,62.1,14.39071538789406,57.668222288901966
0006,Jönköpings län,0682,Nässjö,62.1,14.422307071903859,57.67564802756949
0006,Jönköpings län,0682,Nässjö,62.1,14.448978555467583,57.72846046431887
0006,Jönköpings län,0682,Nässjö,62.1,14.516669360798774,57.748474342762634
0006,Jönköpings län,0682,Nässjö,62.1,14.596290927375719,57.74256094862364
0006,Jönköpings län,0682,Nässjö,62.1,14.64266513299545,57.76783290919489
0006,Jönköpings län,0682,Nässjö,62.1,14.716310815910857,57.78864641325282
0006,Jönköpings län,0682,Nässjö,62.1,14.75018293482081,57.806721192193315
0006,Jönköpings län,0682,Nässjö,62.1,14.804986229950059,57.81102686399875
0006,Jönköpings län,0682,Nässjö,62.1,14.829557489153698,57.79887201272285
0006,Jönköpings län,0682,Nässjö,62.1,14.887565875371857,57.81923034634005
0006,Jönköpings län,0682,Nässjö,62.1,14.943574383925917,57.812565965906195
0006,Jönköpings län,0682,Nässjö,62.1,14.96081135690282,57.753195247437326
0006,Jönköpings län,0682,Nässjö,62.1,14.89636465738745,57.7284150158906
0006,Jönköpings län,0682,Nässjö,62.1,14.916086904510527,57.7092767133016
0006,Jönköpings län,0682,Nässjö,62.1,14.831201758463097,57.654254058890324
0006,Jönköpings län,0682,Nässjö,62.1,14.795836485104866,57.611000488185056
0006,Jönköpings län,0682,Nässjö,62.1,14.851227458650074,57.59717169136743
0006,Jönköpings län,0682,Nässjö,62.1,14.841994693056579,57.556118889203056
0006,Jönköpings län,0682,Nässjö,62.1,14.836151515948316,57.509460881947724
0006,Jönköpings län,0682,Nässjö,62.1,14.844917397773633,57.46923622305223
0006,Jönköpings län,0682,Nässjö,62.1,14.82198548394503,57.4090564987362
0006,Jönköpings län,0682,Nässjö,62.1,14.754456375597602,57.41632337689375
0006,Jönköpings län,0682,Nässjö,62.1,14.713570302654295,57.46366763386452
0006,Jönköpings län,0682,Nässjö,62.1,14.644491626808275,57.469129526850146
0006,Jönköpings län,0682,Nässjö,62.1,14.610982808468089,57.451026990815016
0006,Jönköpings län,0682,Nässjö,62.1,14.568350865755475,57.45506074396401
0006,Jönköpings län,0682,Nässjö,62.1,14.518892187306731,57.493754684602926
0006,Jönköpings län,0682,Nässjö,62.1,14.4569821477944,57.49332317375649
0006,Jönköpings län,0682,Nässjö,62.1,14.429677259139739,57.525743084110374
0006,Jönköpings län,0682,Nässjö,62.1,14.304743169375266,57.532715310970254
0006,Jönköpings län,0682,Nässjö,62.1,14.328639981466551,57.540450991704375
0006,Jönköpings län,0683,Värnamo,63.1,14.291757237224028,56.88247305618266
0006,Jönköpings län,0683,Värnamo,63.1,14.246998647730143,56.89557406251008
0006,Jönköpings län,0683,Värnamo,63.1,14.203745031989175,56.94828634600396
0006,Jönköpings län,0683,Värnamo,63.1,14.194718338569057,56.99026584363277
0006,Jönköpings län,0683,Värnamo,63.1,14.134599150453212,57.04197328393085
0006,Jönköpings län,0683,Värnamo,63.1,14.113097026879363,57.03220904517022
0006,Jönköpings län,0683,Värnamo,63.1,14.074017186475514,57.05397546426242
0006,Jönköpings län,0683,Värnamo,63.1,14.01963181783441,57.0638275989309
0006,Jönköpings län,0683,Värnamo,63.1,13.931482523088746,57.0500188214614
0006,Jönköpings län,0683,Värnamo,63.1,13.920673450150824,57.02526450321005
0006,Jönköpings län,0683,Värnamo,63.1,13.861778326186862,57.008223005202815
0006,Jönköpings län,0683,Värnamo,63.1,13.818448646425713,57.06437138837048
0006,Jönköpings län,0683,Värnamo,63.1,13.746509901369828,57.06831091415513
0006,Jönköpings län,0683,Värnamo,63.1,13.720747385161303,57.11219361054364
0006,Jönköpings län,0683,Värnamo,63.1,13.741268621361474,57.13650645023102
0006,Jönköpings län,0683,Värnamo,63.1,13.718564942673144,57.159187528931454
0006,Jönköpings län,0683,Värnamo,63.1,13.674436569095235,57.152175792811526
0006,Jönköpings län,0683,Värnamo,63.1,13.651096374291718,57.17127738393601
0006,Jönköpings län,0683,Värnamo,63.1,13.681196780980592,57.19335686645768
0006,Jönköpings län,0683,Värnamo,63.1,13.680723700151711,57.25109464880281
